,ticker,2025-03-31 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2025-08-31 00:00:00,2024-08-31 00:00:00,2023-08-31 00:00:00,2022-08-31 00:00:00
Selling General And Administration,6098,1558654000000.0,1521355000000.0,1603242000000.0,1250305000000.0,,,,,
General And Administrative Expense,6098,1558654000000.0,1521355000000.0,1603242000000.0,1250305000000.0,,,,,
Gross Profit,6098,2085644000000.0,1964530000000.0,1996875000000.0,1650020000000.0,,,,,
Cost Of Revenue,6098,1471834000000.0,1451961000000.0,1432643000000.0,1221684000000.0,,,,,
Total Revenue,6098,3557478000000.0,3416492000000.0,3429519000000.0,2871705000000.0,,,,,
Operating Revenue,6098,3557478000000.0,3416492000000.0,3429519000000.0,2871705000000.0,,,,,
Tax Effect Of Unusual Items,4063,434186000.0,1803510000.0,-1237320000.0,-279972000.0,,,,,
Tax Rate For Calcs,4063,0.298,0.29,0.252,0.252,,,,,
Normalized EBITDA,4063,979005000000.0,922438000000.0,1240243000000.0,867019000000.0,,,,,
Total Unusual Items,4063,1457000000.0,6219000000.0,-4910000000.0,-1111000000.0,,,,,
Total Unusual Items Excluding Goodwill,4063,1457000000.0,6219000000.0,-4910000000.0,-1111000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,4063,534021000000.0,520140000000.0,708238000000.0,500117000000.0,,,,,
Reconciled Depreciation,4063,238357000000.0,227619000000.0,213632000000.0,168788000000.0,,,,,
Reconciled Cost Of Revenue,4063,1577127000000.0,1503728000000.0,1594717000000.0,1206425000000.0,,,,,
EBITDA,4063,980462000000.0,928657000000.0,1235333000000.0,865908000000.0,,,,,
EBIT,4063,742105000000.0,701038000000.0,1021701000000.0,697120000000.0,,,,,
Net Interest Income,4063,86732000000.0,67959000000.0,15085000000.0,1393000000.0,,,,,
Interest Expense,4063,,1501000000.0,1490000000.0,983000000.0,728000000.0,,,,
Interest Income,4063,86732000000.0,67959000000.0,16575000000.0,2376000000.0,,,,,
Normalized Income,4063,532998186000.0,515724510000.0,711910680000.0,500948028000.0,,,,,
Net Income From Continuing And Discontinued Operation,4063,534021000000.0,520140000000.0,708238000000.0,500117000000.0,,,,,
Total Expenses,4063,1819143000000.0,1713899000000.0,1810622000000.0,1398105000000.0,,,,,
Total Operating Income As Reported,4063,742105000000.0,701038000000.0,998202000000.0,676322000000.0,,,,,
Diluted Average Shares,4063,1983143939.0,2007255046.0,2037450016.0,2079056329.0,,,,,
Basic Average Shares,4063,1981378005.0,2005088470.0,2036096654.0,2077245000.0,,,,,
Diluted EPS,4063,269.28,259.13,347.61,240.55,,,,,
Basic EPS,4063,269.52,259.41,347.84,240.76,,,,,
Diluted NI Availto Com Stockholders,4063,534021000000.0,520140000000.0,708238000000.0,500117000000.0,,,,,
Net Income Common Stockholders,4063,534021000000.0,520140000000.0,708238000000.0,500117000000.0,,,,,
Otherunder Preferred Stock Dividend,4063,0.0,0.0,0.0,0.0,,,,,
Net Income,4063,534021000000.0,520140000000.0,708238000000.0,500117000000.0,,,,,
Minority Interests,4063,-46080000000.0,-45020000000.0,-55382000000.0,-24914000000.0,,,,,
Net Income Including Noncontrolling Interests,4063,580101000000.0,565160000000.0,763620000000.0,525032000000.0,,,,,
Net Income Continuous Operations,4063,580101000000.0,565160000000.0,763621000000.0,525032000000.0,,,,,
Tax Provision,4063,246128000000.0,230513000000.0,256590000000.0,171105000000.0,,,,,
Pretax Income,4063,826229000000.0,795673000000.0,1020211000000.0,696137000000.0,,,,,
Other Non Operating Income Expenses,4063,6621000000.0,6810000000.0,15030000000.0,-1872000000.0,,,,,
Special Income Charges,4063,-9546000000.0,-12959000000.0,-4910000000.0,-1111000000.0,,,,,
Other Special Charges,4063,4228000000.0,-2198000000.0,4910000000.0,1111000000.0,,,,,
Write Off,4063,2896000000.0,0.0,,3640000000.0,0.0,,,,
Restructuring And Mergern Acquisition,4063,2422000000.0,15157000000.0,0.0,,,,,,
Net Non Operating Interest Income Expense,4063,86732000000.0,67959000000.0,15085000000.0,1393000000.0,,,,,
Interest Expense Non Operating,4063,,1501000000.0,1490000000.0,983000000.0,728000000.0,,,,
Interest Income Non Operating,4063,86732000000.0,67959000000.0,16575000000.0,2376000000.0,,,,,
Operating Income,4063,742105000000.0,701038000000.0,998202000000.0,676322000000.0,,,,,
Operating Expense,4063,242016000000.0,210171000000.0,215905000000.0,191680000000.0,,,,,
Gross Profit,4063,984121000000.0,911209000000.0,1214107000000.0,868002000000.0,,,,,
Cost Of Revenue,4063,1577127000000.0,1503728000000.0,1594717000000.0,1206425000000.0,,,,,
Total Revenue,4063,2561249000000.0,2414937000000.0,2808824000000.0,2074428000000.0,,,,,
Operating Revenue,4063,2561249000000.0,2414937000000.0,2808824000000.0,2074428000000.0,,,,,
Tax Effect Of Unusual Items,8031,26041572000.0,25022980000.0,8425420000.0,793260000.0,,,,,
Tax Rate For Calcs,8031,0.188,0.17,0.172,0.195,,,,,
Normalized EBITDA,8031,1516474000000.0,1616836000000.0,1733581000000.0,1504132000000.0,,,,,
Total Unusual Items,8031,138519000000.0,147194000000.0,48985000000.0,4068000000.0,,,,,
Total Unusual Items Excluding Goodwill,8031,138519000000.0,147194000000.0,48985000000.0,4068000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,8031,900342000000.0,1063684000000.0,1130630000000.0,914722000000.0,,,,,
Reconciled Depreciation,8031,313730000000.0,293573000000.0,272689000000.0,296396000000.0,,,,,
Reconciled Cost Of Revenue,8031,13374254000000.0,12005227000000.0,12910174000000.0,10616188000000.0,,,,,
EBITDA,8031,1654993000000.0,1764030000000.0,1782566000000.0,1508200000000.0,,,,,
EBIT,8031,1341263000000.0,1470457000000.0,1509877000000.0,1211804000000.0,,,,,
Net Interest Income,8031,-114029000000.0,-103762000000.0,-66825000000.0,-27325000000.0,,,,,
Interest Expense,8031,206032000000.0,168064000000.0,114582000000.0,47324000000.0,,,,,
Interest Income,8031,92003000000.0,64302000000.0,47757000000.0,19999000000.0,,,,,
Normalized Income,8031,787864572000.0,941512980000.0,1090070420000.0,911447260000.0,,,,,
Net Income From Continuing And Discontinued Operation,8031,900342000000.0,1063684000000.0,1130630000000.0,914722000000.0,,,,,
Total Expenses,8031,14261966000000.0,12799518000000.0,13612983000000.0,11212499000000.0,,,,,
Diluted Average Shares,8031,2937781838.0,2948902843.0,3134488000.0,3258822000.0,,,,,
Basic Average Shares,8031,2935291625.0,2947227841.0,3132733106.0,3257488000.0,,,,,
Diluted EPS,8031,306.47,360.705,360.705,280.69,,,,,
Basic EPS,8031,306.73,360.91,360.91,280.805,,,,,
Diluted NI Availto Com Stockholders,8031,900342000000.0,1063684000000.0,1130630000000.0,914722000000.0,,,,,
Net Income Common Stockholders,8031,900342000000.0,1063684000000.0,1130630000000.0,914722000000.0,,,,,
Otherunder Preferred Stock Dividend,8031,0.0,0.0,0.0,0.0,,,,,
Net Income,8031,900342000000.0,1063684000000.0,1130630000000.0,914722000000.0,,,,,
Minority Interests,8031,-21214000000.0,-16795000000.0,-23997000000.0,-22948000000.0,,,,,
Net Income Including Noncontrolling Interests,8031,921556000000.0,1080479000000.0,1154627000000.0,937670000000.0,,,,,
Net Income Continuous Operations,8031,921556000000.0,1080479000000.0,1154627000000.0,937670000000.0,,,,,
Tax Provision,8031,213675000000.0,221914000000.0,240668000000.0,226810000000.0,,,,,
Pretax Income,8031,1135231000000.0,1302393000000.0,1395295000000.0,1164480000000.0,,,,,
Other Non Operating Income Expenses,8031,31717000000.0,31302000000.0,9248000000.0,14909000000.0,,,,,
Special Income Charges,8031,22171000000.0,-50869000000.0,-10539000000.0,-4637000000.0,,,,,
Other Special Charges,8031,-57989000000.0,-16166000000.0,-19436000000.0,-14480000000.0,,,,,
Impairment Of Capital Assets,8031,35818000000.0,67035000000.0,29975000000.0,19117000000.0,,,,,
Net Non Operating Interest Income Expense,8031,-114029000000.0,-103762000000.0,-66825000000.0,-27325000000.0,,,,,
Interest Expense Non Operating,8031,206032000000.0,168064000000.0,114582000000.0,47324000000.0,,,,,
Interest Income Non Operating,8031,92003000000.0,64302000000.0,47757000000.0,19999000000.0,,,,,
Operating Income,8031,400654000000.0,525424000000.0,693419000000.0,545060000000.0,,,,,
Operating Expense,8031,887712000000.0,794291000000.0,702809000000.0,596311000000.0,,,,,
Selling General And Administration,8031,887712000000.0,794291000000.0,702809000000.0,596311000000.0,,,,,
General And Administrative Expense,8031,887712000000.0,794291000000.0,702809000000.0,596311000000.0,,,,,
Gross Profit,8031,1288366000000.0,1319715000000.0,1396228000000.0,1141371000000.0,,,,,
Cost Of Revenue,8031,13374254000000.0,12005227000000.0,12910174000000.0,10616188000000.0,,,,,
Total Revenue,8031,14662620000000.0,13324942000000.0,14306402000000.0,11757559000000.0,,,,,
Operating Revenue,8031,14662620000000.0,13324942000000.0,14306402000000.0,11757559000000.0,,,,,
Tax Effect Of Unusual Items,8306,-28324784400.0,-18070018200.0,1922200000.0,-11801413000.0,,,,,
Tax Rate For Calcs,8306,0.2388,0.2333,0.0035,0.247,,,,,
Total Unusual Items,8306,-118613000000.0,-77454000000.0,549200000000.0,-47779000000.0,,,,,
Total Unusual Items Excluding Goodwill,8306,-118613000000.0,-77454000000.0,549200000000.0,-47779000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,8306,1862946000000.0,1490781000000.0,1116496000000.0,1130840000000.0,,,,,
Reconciled Depreciation,8306,415029000000.0,362367000000.0,334636000000.0,363250000000.0,,,,,
Net Interest Income,8306,2876456000000.0,2457576000000.0,2926209000000.0,2043488000000.0,,,,,
Interest Expense,8306,5591261000000.0,5011100000000.0,2372731000000.0,543952000000.0,,,,,
Interest Income,8306,8467717000000.0,7468676000000.0,5298940000000.0,2587440000000.0,,,,,
Normalized Income,8306,1953234215600.0,1550164981800.0,569218200000.0,1166817587000.0,,,,,
Net Income From Continuing And Discontinued Operation,8306,1862946000000.0,1490781000000.0,1116496000000.0,1130840000000.0,,,,,
Diluted Average Shares,8306,11642149000.0,11959977000.0,12305983851.0,12843157297.0,,,,,
Basic Average Shares,8306,11642149000.0,11959977000.0,12305714000.0,12785341295.0,,,,,
Diluted EPS,8306,159.47,124.32,90.41,88.05,,,,,
Basic EPS,8306,160.01,124.64,90.72,88.44,,,,,
Diluted NI Availto Com Stockholders,8306,1856658000000.0,1486974000000.0,1112584000000.0,1130840000000.0,,,,,
Average Dilution Earnings,8306,-6288000000.0,-3807000000.0,-3912000000.0,,-4159000000.0,,,,
Net Income Common Stockholders,8306,1862946000000.0,1490781000000.0,1116496000000.0,1130840000000.0,,,,,
Net Income,8306,1862946000000.0,1490781000000.0,1116496000000.0,1130840000000.0,,,,,
Minority Interests,8306,-78530000000.0,-80979000000.0,-83820000000.0,-75606000000.0,,,,,
Net Income Including Noncontrolling Interests,8306,1941477000000.0,1571761000000.0,1200316000000.0,1206447000000.0,,,,,
Net Income Continuous Operations,8306,1941477000000.0,1571761000000.0,1200316000000.0,1206447000000.0,,,,,
Tax Provision,8306,609156000000.0,478342000000.0,369607000000.0,283410000000.0,,,,,
Pretax Income,8306,2550634000000.0,2050104000000.0,1569923000000.0,1489857000000.0,,,,,
Special Income Charges,8306,-118613000000.0,-77454000000.0,549200000000.0,-47779000000.0,,,,,
Gain On Sale Of Business,8306,44736000000.0,-93000000.0,670108000000.0,64229000000.0,,,,,
Other Special Charges,8306,15953000000.0,46253000000.0,102741000000.0,-62125000000.0,,,,,
Write Off,8306,,,,,41240000000.0,,,,
Impairment Of Capital Assets,8306,141542000000.0,31108000000.0,18167000000.0,174133000000.0,,,,,
Restructuring And Mergern Acquisition,8306,5854000000.0,0.0,,,0.0,,,,
Gain On Sale Of Security,8306,0.0,0.0,0.0,0.0,,,,,
Depreciation Amortization Depletion Income Statement,8306,,,,,0.0,,,,
Depreciation And Amortization In Income Statement,8306,,,,,0.0,,,,
Amortization,8306,,,,,0.0,,,,
Amortization Of Intangibles Income Statement,8306,,,,,0.0,,,,
Depreciation Income Statement,8306,,,,,87305000000.0,,,,
Selling General And Administration,8306,3166035000000.0,2920875000000.0,2969325000000.0,2746840000000.0,,,,,
General And Administrative Expense,8306,3166035000000.0,2920875000000.0,2969325000000.0,2746840000000.0,,,,,
Other Gand A,8306,3166035000000.0,2920875000000.0,2969325000000.0,2746840000000.0,,,,,
Insurance And Claims,8306,,,,,90529000000.0,,,,
Salaries And Wages,8306,,,78111000000.0,0.0,1253461000000.0,,,,
Total Revenue,8306,6838439000000.0,5879775000000.0,6057232000000.0,4703324000000.0,,,,,
Operating Revenue,8306,6838439000000.0,5879775000000.0,6057232000000.0,4703324000000.0,,,,,
Occupancy And Equipment,8306,,,,,178107000000.0,,,,
Other Non Interest Expense,8306,1491383000000.0,865234000000.0,1818166000000.0,529009000000.0,,,,,
Tax Effect Of Unusual Items,8058,99483468000.0,59685168000.0,40118085000.0,3891127000.0,,,,,
Tax Rate For Calcs,8058,0.228,0.248,0.243,0.223,,,,,
Normalized EBITDA,8058,1598481000000.0,1912399000000.0,2214207000000.0,1867392000000.0,,,,,
Total Unusual Items,8058,436331000000.0,240666000000.0,165095000000.0,17449000000.0,,,,,
Total Unusual Items Excluding Goodwill,8058,436331000000.0,240666000000.0,165095000000.0,17449000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,8058,950709000000.0,964034000000.0,1180694000000.0,937529000000.0,,,,,
Reconciled Depreciation,8058,470768000000.0,599330000000.0,583294000000.0,545043000000.0,,,,,
Reconciled Cost Of Revenue,8058,16781207000000.0,17207892000000.0,19012011000000.0,15114064000000.0,,,,,
EBITDA,8058,2034812000000.0,2153065000000.0,2379302000000.0,1884841000000.0,,,,,
EBIT,8058,1564044000000.0,1553735000000.0,1796008000000.0,1339798000000.0,,,,,
Net Interest Income,8058,171977000000.0,114233000000.0,88265000000.0,139850000000.0,,,,,
Interest Expense,8058,170619000000.0,191141000000.0,115377000000.0,46682000000.0,,,,,
Interest Income,8058,342596000000.0,305374000000.0,203642000000.0,186532000000.0,,,,,
Normalized Income,8058,613861468000.0,783053168000.0,1055717085000.0,923971127000.0,,,,,
Net Income From Continuing And Discontinued Operation,8058,950709000000.0,964034000000.0,1180694000000.0,937529000000.0,,,,,
Total Expenses,8058,18246504000000.0,18900174000000.0,20619529000000.0,16546103000000.0,,,,,
Diluted Average Shares,8058,4031844784.0,4335270045.0,4396388144.0,4445688000.0,,,,,
Basic Average Shares,8058,4011938220.0,4189630595.0,4376782976.0,4428837000.0,,,,,
Diluted EPS,8058,235.8,222.37,268.56,208.576667,,,,,
Basic EPS,8058,236.97,230.1,269.76,211.686667,,,,,
Diluted NI Availto Com Stockholders,8058,950709000000.0,964034000000.0,1180694000000.0,937529000000.0,,,,,
Net Income Common Stockholders,8058,950709000000.0,964034000000.0,1180694000000.0,937529000000.0,,,,,
Otherunder Preferred Stock Dividend,8058,0.0,0.0,0.0,0.0,,,,,
Net Income,8058,950709000000.0,964034000000.0,1180694000000.0,937529000000.0,,,,,
Minority Interests,8058,-125537000000.0,-60824000000.0,-90805000000.0,-66930000000.0,,,,,
Net Income Including Noncontrolling Interests,8058,1076246000000.0,1024858000000.0,1271499000000.0,1004459000000.0,,,,,
Net Income Continuous Operations,8058,1076246000000.0,1024858000000.0,1271499000000.0,1004459000000.0,,,,,
Tax Provision,8058,317179000000.0,337736000000.0,409132000000.0,288657000000.0,,,,,
Pretax Income,8058,1393425000000.0,1362594000000.0,1680631000000.0,1293116000000.0,,,,,
Other Non Operating Income Expenses,8058,76538000000.0,-104117000000.0,-25353000000.0,23289000000.0,,,,,
Special Income Charges,8058,130702000000.0,7659000000.0,-31910000000.0,-57805000000.0,,,,,
Other Special Charges,8058,-134578000000.0,-37215000000.0,272000000.0,-6712000000.0,,,,,
Impairment Of Capital Assets,8058,3876000000.0,29556000000.0,31638000000.0,64517000000.0,,,,,
Net Non Operating Interest Income Expense,8058,171977000000.0,114233000000.0,88265000000.0,139850000000.0,,,,,
Interest Expense Non Operating,8058,170619000000.0,191141000000.0,115377000000.0,46682000000.0,,,,,
Interest Income Non Operating,8058,342596000000.0,305374000000.0,203642000000.0,186532000000.0,,,,,
Operating Income,8058,371097000000.0,667427000000.0,952444000000.0,718725000000.0,,,,,
Operating Expense,8058,1465297000000.0,1692282000000.0,1607518000000.0,1432039000000.0,,,,,
Selling General And Administration,8058,1465297000000.0,1692282000000.0,1607518000000.0,1432039000000.0,,,,,
General And Administrative Expense,8058,1465297000000.0,1692282000000.0,1607518000000.0,1432039000000.0,,,,,
Gross Profit,8058,1836394000000.0,2359709000000.0,2559962000000.0,2150764000000.0,,,,,
Cost Of Revenue,8058,16781207000000.0,17207892000000.0,19012011000000.0,15114064000000.0,,,,,
Total Revenue,8058,18617601000000.0,19567601000000.0,21571973000000.0,17264828000000.0,,,,,
Operating Revenue,8058,18617601000000.0,19567601000000.0,21571973000000.0,17264828000000.0,,,,,
Tax Effect Of Unusual Items,7267,-10002825000.0,21284480000.0,-7045176000.0,-1438931000.0,,,,,
Tax Rate For Calcs,7267,0.315,0.28,0.184,0.289,,,,,
Normalized EBITDA,7267,2147165000000.0,2420365000000.0,1675596000000.0,1703099000000.0,,,,,
Total Unusual Items,7267,-31755000000.0,76016000000.0,-38289000000.0,-4979000000.0,,,,,
Total Unusual Items Excluding Goodwill,7267,-31755000000.0,76016000000.0,-38289000000.0,-4979000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,7267,835837000000.0,1107174000000.0,651416000000.0,707067000000.0,,,,,
Reconciled Depreciation,7267,742863000000.0,794366000000.0,721630000000.0,611063000000.0,,,,,
Reconciled Cost Of Revenue,7267,17024788000000.0,16016659000000.0,13576133000000.0,11567923000000.0,,,,,
EBITDA,7267,2115410000000.0,2496381000000.0,1637307000000.0,1698120000000.0,,,,,
EBIT,7267,1372547000000.0,1702015000000.0,915677000000.0,1087057000000.0,,,,,
Net Interest Income,7267,134927000000.0,73574000000.0,19640000000.0,1425000000.0,,,,,
Interest Expense,7267,54907000000.0,59631000000.0,36112000000.0,16867000000.0,,,,,
Interest Income,7267,191131000000.0,173695000000.0,73071000000.0,25627000000.0,,,,,
Normalized Income,7267,857589175000.0,1052442480000.0,682659824000.0,710607069000.0,,,,,
Net Income From Continuing And Discontinued Operation,7267,835837000000.0,1107174000000.0,651416000000.0,707067000000.0,,,,,
Total Expenses,7267,20475281000000.0,19046825000000.0,16126956000000.0,13681464000000.0,,,,,
Total Operating Income As Reported,7267,1213486000000.0,1381977000000.0,780769000000.0,871232000000.0,,,,,
Diluted Average Shares,7267,4671383489.0,4901560332.0,5088921345.0,5159885505.0,,,,,
Basic Average Shares,7267,4671383489.0,4901560332.0,5088921345.0,5159885505.0,,,,,
Diluted EPS,7267,178.93,225.88,136.623333,137.03,,,,,
Basic EPS,7267,178.93,225.88,136.623333,137.03,,,,,
Diluted NI Availto Com Stockholders,7267,835837000000.0,1107174000000.0,651416000000.0,707067000000.0,,,,,
Net Income Common Stockholders,7267,835837000000.0,1107174000000.0,651416000000.0,707067000000.0,,,,,
Net Income,7267,835837000000.0,1107174000000.0,651416000000.0,707067000000.0,,,,,
Minority Interests,7267,-67197000000.0,-75416000000.0,-65893000000.0,-53634000000.0,,,,,
Net Income Including Noncontrolling Interests,7267,903034000000.0,1182590000000.0,717309000000.0,760701000000.0,,,,,
Net Income Continuous Operations,7267,903034000000.0,1182590000000.0,717309000000.0,760701000000.0,,,,,
Tax Provision,7267,414606000000.0,459794000000.0,162256000000.0,309489000000.0,,,,,
Pretax Income,7267,1317640000000.0,1642384000000.0,879565000000.0,1070190000000.0,,,,,
Other Income Expense,7267,-30773000000.0,186833000000.0,79156000000.0,197533000000.0,,,,,
Other Non Operating Income Expenses,7267,,,,-7335000000.0,-17128000000.0,,,,
Earnings From Equity Interest,7267,982000000.0,110817000000.0,117445000000.0,202512000000.0,,,,,
Gain On Sale Of Security,7267,-31755000000.0,76016000000.0,-38289000000.0,-4979000000.0,,,,,
Net Non Operating Interest Income Expense,7267,134927000000.0,73574000000.0,19640000000.0,1425000000.0,,,,,
Total Other Finance Cost,7267,1297000000.0,40490000000.0,17319000000.0,7335000000.0,,,,,
Interest Expense Non Operating,7267,54907000000.0,59631000000.0,36112000000.0,16867000000.0,,,,,
Interest Income Non Operating,7267,191131000000.0,173695000000.0,73071000000.0,25627000000.0,,,,,
Operating Income,7267,1213486000000.0,1381977000000.0,780769000000.0,871232000000.0,,,,,
Operating Expense,7267,3450493000000.0,3030166000000.0,2550823000000.0,2113541000000.0,,,,,
Research And Development,7267,1099482000000.0,923627000000.0,880915000000.0,787056000000.0,,,,,
Selling General And Administration,7267,2351011000000.0,2106539000000.0,1669908000000.0,1326485000000.0,,,,,
Gross Profit,7267,4663979000000.0,4412143000000.0,3331592000000.0,2984773000000.0,,,,,
Cost Of Revenue,7267,17024788000000.0,16016659000000.0,13576133000000.0,11567923000000.0,,,,,
Total Revenue,7267,21688767000000.0,20428802000000.0,16907725000000.0,14552696000000.0,,,,,
Operating Revenue,7267,21688767000000.0,20428802000000.0,16907725000000.0,14552696000000.0,,,,,
Tax Effect Of Unusual Items,6954,-443751000.0,-237405000.0,-901092000.0,-465920000.0,,,,,
Tax Rate For Calcs,6954,0.231,0.255,0.244,0.256,,,,,
Normalized EBITDA,6954,207215000000.0,191851000000.0,244241000000.0,232137000000.0,,,,,
Total Unusual Items,6954,-1921000000.0,-931000000.0,-3693000000.0,-1820000000.0,,,,,
Total Unusual Items Excluding Goodwill,6954,-1921000000.0,-931000000.0,-3693000000.0,-1820000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,6954,147557000000.0,133159000000.0,170587000000.0,155273000000.0,,,,,
Reconciled Depreciation,6954,46448000000.0,49001000000.0,49189000000.0,47077000000.0,,,,,
Reconciled Cost Of Revenue,6954,502204000000.0,519430000000.0,526549000000.0,437374000000.0,,,,,
EBITDA,6954,205294000000.0,190920000000.0,240548000000.0,230317000000.0,,,,,
EBIT,6954,158846000000.0,141919000000.0,191359000000.0,183240000000.0,,,,,
Net Interest Income,6954,7122000000.0,4549000000.0,3840000000.0,2055000000.0,,,,,
Interest Income,6954,7122000000.0,4549000000.0,3840000000.0,2055000000.0,,,,,
Normalized Income,6954,149034249000.0,133852595000.0,173378908000.0,156627080000.0,,,,,
Net Income From Continuing And Discontinued Operation,6954,147557000000.0,133159000000.0,170587000000.0,155273000000.0,,,,,
Total Expenses,6954,638283000000.0,653355000000.0,660597000000.0,549768000000.0,,,,,
Total Operating Income As Reported,6954,158846000000.0,141919000000.0,191359000000.0,183240000000.0,,,,,
Diluted Average Shares,6954,938001399.0,949575697.0,955390733.0,959087000.0,,,,,
Basic Average Shares,6954,938001399.0,949575697.0,955390733.0,959087000.0,,,,,
Diluted EPS,6954,157.31,140.23,178.55,161.9,,,,,
Basic EPS,6954,157.31,140.23,178.55,161.9,,,,,
Diluted NI Availto Com Stockholders,6954,147557000000.0,133159000000.0,170587000000.0,155273000000.0,,,,,
Net Income Common Stockholders,6954,147557000000.0,133159000000.0,170587000000.0,155273000000.0,,,,,
Otherunder Preferred Stock Dividend,6954,0.0,0.0,0.0,0.0,,,,,
Net Income,6954,147557000000.0,133159000000.0,170587000000.0,155273000000.0,,,,,
Minority Interests,6954,-3790000000.0,-2328000000.0,-3327000000.0,-3217000000.0,,,,,
Net Income Including Noncontrolling Interests,6954,151347000000.0,135487000000.0,173914000000.0,158490000000.0,,,,,
Net Income Continuous Operations,6954,151347000000.0,135487000000.0,173914000000.0,158490000000.0,,,,,
Tax Provision,6954,45391000000.0,46268000000.0,56189000000.0,54427000000.0,,,,,
Pretax Income,6954,196738000000.0,181755000000.0,230103000000.0,212917000000.0,,,,,
Other Non Operating Income Expenses,6954,2755000000.0,6405000000.0,4305000000.0,5179000000.0,,,,,
Special Income Charges,6954,-820000000.0,-931000000.0,-3693000000.0,-1820000000.0,,,,,
Other Special Charges,6954,820000000.0,931000000.0,2469000000.0,1820000000.0,,,,,
Write Off,6954,,0.0,1224000000.0,0.0,,,,,
Net Non Operating Interest Income Expense,6954,7122000000.0,4549000000.0,3840000000.0,2055000000.0,,,,,
Interest Income Non Operating,6954,7122000000.0,4549000000.0,3840000000.0,2055000000.0,,,,,
Operating Income,6954,158846000000.0,141919000000.0,191359000000.0,183240000000.0,,,,,
Operating Expense,6954,136079000000.0,133925000000.0,134048000000.0,112394000000.0,,,,,
Gross Profit,6954,294925000000.0,275844000000.0,325407000000.0,295634000000.0,,,,,
Cost Of Revenue,6954,502204000000.0,519430000000.0,526549000000.0,437374000000.0,,,,,
Total Revenue,6954,797129000000.0,795274000000.0,851956000000.0,733008000000.0,,,,,
Operating Revenue,6954,797129000000.0,795274000000.0,851956000000.0,733008000000.0,,,,,
Tax Effect Of Unusual Items,7974,3765000.0,62775000.0,-121800000.0,1030338931.981394,,,,,
Tax Rate For Calcs,7974,0.251,0.279,0.28,0.291633,,,,,
Normalized EBITDA,7974,297900000000.0,546573000000.0,612354000000.0,681664000000.0,,,,,
Total Unusual Items,7974,15000000.0,225000000.0,-435000000.0,3533000000.0,,,,,
Total Unusual Items Excluding Goodwill,7974,15000000.0,225000000.0,-435000000.0,3533000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,7974,278806000000.0,490602000000.0,432768000000.0,477691000000.0,,,,,
Reconciled Depreciation,7974,15361000000.0,17856000000.0,11040000000.0,10527000000.0,,,,,
Reconciled Cost Of Revenue,7974,454754000000.0,717530000000.0,716237000000.0,749299000000.0,,,,,
EBITDA,7974,297915000000.0,546798000000.0,611919000000.0,685197000000.0,,,,,
EBIT,7974,282554000000.0,528942000000.0,600879000000.0,674670000000.0,,,,,
Net Interest Income,7974,56176000000.0,51412000000.0,25377000000.0,3036000000.0,,,,,
Interest Expense,7974,,166000000.0,122000000.0,281000000.0,177000000.0,,,,
Interest Income,7974,56176000000.0,51412000000.0,25499000000.0,3317000000.0,,,,,
Normalized Income,7974,278794765000.0,490439775000.0,433081200000.0,475188338931.9814,,,,,
Net Income From Continuing And Discontinued Operation,7974,278806000000.0,490602000000.0,432768000000.0,477691000000.0,,,,,
Total Expenses,7974,882368000000.0,1142923000000.0,1097302000000.0,1102582000000.0,,,,,
Total Operating Income As Reported,7974,282553000000.0,528941000000.0,504375000000.0,592760000000.0,,,,,
Diluted Average Shares,7974,1164262747.0,1164246897.0,1165213000.0,1180448000.0,,,,,
Basic Average Shares,7974,1164262747.0,1164246897.0,1165213000.0,1180448000.0,,,,,
Diluted EPS,7974,239.47,421.39,371.41,404.67,,,,,
Basic EPS,7974,239.47,421.39,371.41,404.67,,,,,
Diluted NI Availto Com Stockholders,7974,278806000000.0,490602000000.0,432768000000.0,477691000000.0,,,,,
Net Income Common Stockholders,7974,278806000000.0,490602000000.0,432768000000.0,477691000000.0,,,,,
Otherunder Preferred Stock Dividend,7974,0.0,0.0,0.0,0.0,,,,,
Net Income,7974,278806000000.0,490602000000.0,432768000000.0,477691000000.0,,,,,
Minority Interests,7974,-46000000.0,-40000000.0,-32000000.0,-22000000.0,,,,,
Net Income Including Noncontrolling Interests,7974,278852000000.0,490642000000.0,432800000000.0,477714000000.0,,,,,
Net Income Continuous Operations,7974,278853000000.0,490642000000.0,432800000000.0,477715000000.0,,,,,
Tax Provision,7974,93478000000.0,190080000000.0,167957000000.0,196674000000.0,,,,,
Pretax Income,7974,372331000000.0,680722000000.0,600757000000.0,674389000000.0,,,,,
Other Non Operating Income Expenses,7974,6375000000.0,8454000000.0,5122000000.0,2760000000.0,,,,,
Special Income Charges,7974,-57000000.0,-375000000.0,-334000000.0,3228000000.0,,,,,
Other Special Charges,7974,57000000.0,375000000.0,334000000.0,-3228000000.0,,,,,
