,ticker,2025-03-31 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2025-08-31 00:00:00,2024-08-31 00:00:00,2023-08-31 00:00:00,2022-08-31 00:00:00,2021-08-31 00:00:00
Net Investment Purchase And Sale,4503,12920000000.0,0.0,12624000000.0,5576000000.0,,,,,,
Sale Of Investment,4503,12920000000.0,0.0,12624000000.0,5576000000.0,,,,,,
Net Business Purchase And Sale,4503,0.0,-784974000000.0,0.0,-670000000.0,,,,,,
Purchase Of Business,4503,0.0,-784974000000.0,0.0,-670000000.0,,,,,,
Net Intangibles Purchase And Sale,4503,-19168000000.0,-33438000000.0,-51888000000.0,-21428000000.0,,,,,,
Sale Of Intangibles,4503,1159000000.0,11003000000.0,212000000.0,24281000000.0,,,,,,
Purchase Of Intangibles,4503,-20327000000.0,-44441000000.0,-52100000000.0,-45709000000.0,,,,,,
Net PPE Purchase And Sale,4503,-37003000000.0,-38056000000.0,-36441000000.0,-30739000000.0,,,,,,
Sale Of PPE,4503,,,,441000000.0,6831000000.0,,,,,
Purchase Of PPE,4503,-37003000000.0,-38056000000.0,-36441000000.0,-30739000000.0,,,,,,
Operating Cash Flow,4503,194512000000.0,172475000000.0,327767000000.0,257444000000.0,,,,,,
Taxes Refund Paid,4503,-85478000000.0,-38112000000.0,-69479000000.0,-42093000000.0,,,,,,
Change In Working Capital,4503,-166369000000.0,-86518000000.0,-24209000000.0,5956000000.0,,,,,,
Change In Payable,4503,-11409000000.0,29466000000.0,-12274000000.0,-10101000000.0,,,,,,
Change In Inventory,4503,-50225000000.0,-60036000000.0,-7086000000.0,24058000000.0,,,,,,
Change In Receivables,4503,-104735000000.0,-55948000000.0,-4849000000.0,-8001000000.0,,,,,,
Other Non Cash Items,4503,28425000000.0,35365000000.0,98857000000.0,-17839000000.0,,,,,,
Depreciation And Amortization,4503,199132000000.0,157840000000.0,105738000000.0,79684000000.0,,,,,,
Depreciation,4503,199132000000.0,157840000000.0,105738000000.0,79684000000.0,,,,,,
Net Income From Continuing Operations,4503,31237000000.0,24969000000.0,132361000000.0,156886000000.0,,,,,,
Free Cash Flow,6098,545106000000.0,465433000000.0,361437000000.0,375225000000.0,,,,,,
Repurchase Of Capital Stock,6098,-824465000000.0,-218928000000.0,-152454000000.0,-124568000000.0,,,,,,
Repayment Of Debt,6098,0.0,-32912000000.0,-24959000000.0,-54957000000.0,,,,,,
Capital Expenditure,6098,-65257000000.0,-69929000000.0,-76756000000.0,-64385000000.0,,,,,,
End Cash Position,6098,808625000000.0,1136858000000.0,877370000000.0,669551000000.0,,,,,,
Other Cash Adjustment Outside Changein Cash,6098,,,,,-1000000.0,,,,,
Beginning Cash Position,6098,1136858000000.0,877370000000.0,669551000000.0,501043000000.0,,,,,,
Effect Of Exchange Rate Changes,6098,2938000000.0,127563000000.0,54362000000.0,54007000000.0,,,,,,
Changes In Cash,6098,-331171000000.0,131925000000.0,153457000000.0,114501000000.0,,,,,,
Financing Cash Flow,6098,-880480000000.0,-334648000000.0,-252060000000.0,-254371000000.0,,,,,,
Net Other Financing Charges,6098,24176000000.0,-632000000.0,5309000000.0,2427000000.0,,,,,,
Cash Dividends Paid,6098,-35644000000.0,-35374000000.0,-34638000000.0,-34317000000.0,,,,,,
Common Stock Dividend Paid,6098,-35644000000.0,-35374000000.0,-34638000000.0,-34317000000.0,,,,,,
Net Common Stock Issuance,6098,-824465000000.0,-218928000000.0,-152454000000.0,-124568000000.0,,,,,,
Common Stock Payments,6098,-824465000000.0,-218928000000.0,-152454000000.0,-124568000000.0,,,,,,
Net Issuance Payments Of Debt,6098,0.0,-32912000000.0,-24959000000.0,-54957000000.0,,,,,,
Net Long Term Debt Issuance,6098,0.0,-32912000000.0,-24959000000.0,-54957000000.0,,,,,,
Long Term Debt Payments,6098,0.0,-32912000000.0,-24959000000.0,-54957000000.0,,,,,,
Investing Cash Flow,6098,-61054000000.0,-68789000000.0,-32676000000.0,-70738000000.0,,,,,,
Net Other Investing Changes,6098,-6145000000.0,-2748000000.0,4549000000.0,-6353000000.0,,,,,,
Net Investment Purchase And Sale,6098,10348000000.0,3888000000.0,,,,,,,,
Sale Of Investment,6098,26708000000.0,4869000000.0,,,,,,,,
Purchase Of Investment,6098,-16360000000.0,-981000000.0,,,,,,,,
Net Business Purchase And Sale,6098,,0.0,39531000000.0,0.0,,,,,,
Sale Of Business,6098,,0.0,39531000000.0,0.0,,,,,,
Net Intangibles Purchase And Sale,6098,-57306000000.0,-58792000000.0,-54731000000.0,-51252000000.0,,,,,,
Purchase Of Intangibles,6098,-57306000000.0,-58792000000.0,-54731000000.0,-51252000000.0,,,,,,
Net PPE Purchase And Sale,6098,-7951000000.0,-11137000000.0,-22025000000.0,-13133000000.0,,,,,,
Sale Of PPE,6098,,,,97000000.0,20209000000.0,,,,,
Purchase Of PPE,6098,-7951000000.0,-11137000000.0,-22025000000.0,-13133000000.0,,,,,,
Operating Cash Flow,6098,610363000000.0,535362000000.0,438193000000.0,439610000000.0,,,,,,
Taxes Refund Paid,6098,-113800000000.0,-150024000000.0,-109450000000.0,-123221000000.0,,,,,,
Interest Received Cfo,6098,34676000000.0,41489000000.0,16833000000.0,2159000000.0,,,,,,
Interest Paid Cfo,6098,-5362000000.0,-5364000000.0,-4091000000.0,-3732000000.0,,,,,,
Change In Working Capital,6098,11083000000.0,67580000000.0,-8859000000.0,26039000000.0,,,,,,
Change In Other Current Assets,6098,7904000000.0,62235000000.0,-23315000000.0,67175000000.0,,,,,,
Change In Payable,6098,18963000000.0,-5114000000.0,57573000000.0,33898000000.0,,,,,,
Change In Receivables,6098,-15784000000.0,10459000000.0,-43117000000.0,-75034000000.0,,,,,,
Other Non Cash Items,6098,-33044000000.0,-41410000000.0,-18758000000.0,,,,,,,
Stock Based Compensation,6098,80429000000.0,79368000000.0,72706000000.0,32446000000.0,,,,,,
Depreciation And Amortization,6098,109237000000.0,117481000000.0,122044000000.0,123169000000.0,,,,,,
Depreciation,6098,109237000000.0,117481000000.0,122044000000.0,123169000000.0,,,,,,
Net Income From Continuing Operations,6098,527143000000.0,426241000000.0,367767000000.0,382749000000.0,,,,,,
Free Cash Flow,4063,439097000000.0,377705000000.0,488646000000.0,355972000000.0,,,,,,
Repurchase Of Capital Stock,4063,-193988000000.0,-107742000000.0,-206788000000.0,-5954000000.0,,,,,,
Repayment Of Debt,4063,-12637000000.0,-5109000000.0,-6029000000.0,-3041000000.0,,,,,,
Issuance Of Debt,4063,1223000000.0,23000000.0,5000000000.0,4677000000.0,,,,,,
Issuance Of Capital Stock,4063,2471000000.0,6621000000.0,2811000000.0,2634000000.0,,,,,,
Capital Expenditure,4063,-442837000000.0,-377478000000.0,-299367000000.0,-197556000000.0,,,,,,
End Cash Position,4063,882736000000.0,590135000000.0,1247344000000.0,1008925000000.0,,,,,,
Other Cash Adjustment Outside Changein Cash,4063,,-1000000.0,-1000000.0,65000000.0,-2000000.0,,,,,
Beginning Cash Position,4063,590135000000.0,1247344000000.0,1008925000000.0,801596000000.0,,,,,,
Effect Of Exchange Rate Changes,4063,8125000000.0,56283000000.0,60454000000.0,29963000000.0,,,,,,
Changes In Cash,4063,284476000000.0,-713491000000.0,177966000000.0,177301000000.0,,,,,,
Financing Cash Flow,4063,-454905000000.0,-369466000000.0,-423559000000.0,-122504000000.0,,,,,,
Net Other Financing Charges,4063,-50093000000.0,-50486000000.0,-21667000000.0,761000000.0,,,,,,
Cash Dividends Paid,4063,-204724000000.0,-211242000000.0,-195365000000.0,-120481000000.0,,,,,,
Common Stock Dividend Paid,4063,-204724000000.0,-211242000000.0,-195365000000.0,-120481000000.0,,,,,,
Net Common Stock Issuance,4063,-191517000000.0,-101121000000.0,-203977000000.0,-3320000000.0,,,,,,
Common Stock Payments,4063,-193988000000.0,-107742000000.0,-206788000000.0,-5954000000.0,,,,,,
Common Stock Issuance,4063,2471000000.0,6621000000.0,2811000000.0,2634000000.0,,,,,,
Net Issuance Payments Of Debt,4063,-8571000000.0,-6617000000.0,-2550000000.0,536000000.0,,,,,,
Net Short Term Debt Issuance,4063,2843000000.0,-1531000000.0,-1521000000.0,-1100000000.0,,,,,,
Net Long Term Debt Issuance,4063,-11414000000.0,-5086000000.0,-1029000000.0,1636000000.0,,,,,,
Long Term Debt Payments,4063,-12637000000.0,-5109000000.0,-6029000000.0,-3041000000.0,,,,,,
Long Term Debt Issuance,4063,1223000000.0,23000000.0,5000000000.0,4677000000.0,,,,,,
Investing Cash Flow,4063,-142553000000.0,-1099208000000.0,-186488000000.0,-253723000000.0,,,,,,
Net Other Investing Changes,4063,334131000000.0,-783092000000.0,10297000000.0,-41099000000.0,,,,,,
Net Investment Purchase And Sale,4063,13491000000.0,60000000000.0,102458000000.0,-14112000000.0,,,,,,
Sale Of Investment,4063,23557000000.0,62646000000.0,116490000000.0,56987000000.0,,,,,,
Purchase Of Investment,4063,-10066000000.0,-2646000000.0,-14032000000.0,-71099000000.0,,,,,,
Net Business Purchase And Sale,4063,-47232000000.0,,0.0,-3552000000.0,0.0,,,,,
Purchase Of Business,4063,-47232000000.0,,0.0,-3552000000.0,0.0,,,,,
Net Intangibles Purchase And Sale,4063,-3364000000.0,-3061000000.0,-3850000000.0,-1781000000.0,,,,,,
Purchase Of Intangibles,4063,-3364000000.0,-3061000000.0,-3850000000.0,-1781000000.0,,,,,,
Net PPE Purchase And Sale,4063,-439381000000.0,-372872000000.0,-295241000000.0,-193430000000.0,,,,,,
Sale Of PPE,4063,92000000.0,1545000000.0,276000000.0,2345000000.0,,,,,,
Purchase Of PPE,4063,-439473000000.0,-374417000000.0,-295517000000.0,-195775000000.0,,,,,,
Operating Cash Flow,4063,881934000000.0,755183000000.0,788013000000.0,553528000000.0,,,,,,
Taxes Refund Paid,4063,-187020000000.0,-208939000000.0,-266937000000.0,-147448000000.0,,,,,,
Interest Received Cfo,4063,96942000000.0,64873000000.0,23220000000.0,6984000000.0,,,,,,
Interest Paid Cfo,4063,-1154000000.0,-1298000000.0,-1234000000.0,-816000000.0,,,,,,
Change In Working Capital,4063,4541000000.0,-26418000000.0,-177869000000.0,-138538000000.0,,,,,,
Change In Other Current Assets,4063,,,,,2860000000.0,,,,,
Change In Payable,4063,-12427000000.0,-28776000000.0,-1702000000.0,47436000000.0,,,,,,
Change In Prepaid Assets,4063,3341000000.0,2818000000.0,2899000000.0,-3951000000.0,,,,,,
Change In Inventory,4063,-8469000000.0,-9560000000.0,-210959000000.0,-69097000000.0,,,,,,
Change In Receivables,4063,21712000000.0,7039000000.0,29718000000.0,-119162000000.0,,,,,,
Other Non Cash Items,4063,-90058000000.0,-79354000000.0,-13858000000.0,-16568000000.0,,,,,,
Depreciation And Amortization,4063,238357000000.0,227619000000.0,213632000000.0,168788000000.0,,,,,,
Depreciation,4063,238357000000.0,227619000000.0,213632000000.0,168788000000.0,,,,,,
Gain Loss On Investment Securities,4063,-10279000000.0,-18789000000.0,-58000000.0,-115000000.0,,,,,,
Net Foreign Currency Exchange Gain Loss,4063,7197000000.0,-11507000000.0,-1082000000.0,-8842000000.0,,,,,,
Net Income From Continuing Operations,4063,826229000000.0,795673000000.0,1020211000000.0,696137000000.0,,,,,,
Free Cash Flow,8031,671371000000.0,569648000000.0,857494000000.0,621371000000.0,,,,,,
Repayment Of Debt,8031,-1344562000000.0,-1204625000000.0,-217647000000.0,-1261549000000.0,,,,,,
Issuance Of Debt,8031,1470993000000.0,860848000000.0,1041157000000.0,1206573000000.0,,,,,,
Capital Expenditure,8031,-346147000000.0,-294771000000.0,-190043000000.0,-185525000000.0,,,,,,
End Cash Position,8031,977356000000.0,898204000000.0,1390130000000.0,1127868000000.0,,,,,,
Beginning Cash Position,8031,898204000000.0,1390130000000.0,1127868000000.0,1063150000000.0,,,,,,
Effect Of Exchange Rate Changes,8031,-26776000000.0,84280000000.0,27751000000.0,53338000000.0,,,,,,
Changes In Cash,8031,105928000000.0,-576206000000.0,234511000000.0,11380000000.0,,,,,,
Financing Cash Flow,8031,-749602000000.0,-1013078000000.0,-634685000000.0,-614325000000.0,,,,,,
Net Other Financing Charges,8031,-30119000000.0,-10522000000.0,-51934000000.0,-98076000000.0,,,,,,
Cash Dividends Paid,8031,-274157000000.0,-242368000000.0,-198082000000.0,-148206000000.0,,,,,,
Common Stock Dividend Paid,8031,-274157000000.0,-242368000000.0,-198082000000.0,-148206000000.0,,,,,,
Net Common Stock Issuance,8031,-399758000000.0,-139259000000.0,-270246000000.0,-174915000000.0,,,,,,
Net Issuance Payments Of Debt,8031,44498000000.0,-546945000000.0,-48969000000.0,-137498000000.0,,,,,,
Net Short Term Debt Issuance,8031,-81933000000.0,-203168000000.0,168678000000.0,-82522000000.0,,,,,,
Net Long Term Debt Issuance,8031,126431000000.0,-343777000000.0,-217647000000.0,-54976000000.0,,,,,,
Long Term Debt Payments,8031,-1344562000000.0,-1204625000000.0,-217647000000.0,-1261549000000.0,,,,,,
Long Term Debt Issuance,8031,1470993000000.0,860848000000.0,1041157000000.0,1206573000000.0,,,,,,
Investing Cash Flow,8031,-161988000000.0,-427547000000.0,-178341000000.0,-181191000000.0,,,,,,
Net Investment Purchase And Sale,8031,106540000000.0,23079000000.0,70914000000.0,-42967000000.0,,,,,,
Sale Of Investment,8031,164034000000.0,115511000000.0,70914000000.0,63050000000.0,,,,,,
Purchase Of Investment,8031,-57494000000.0,-92432000000.0,-100431000000.0,-106017000000.0,,,,,,
Net Investment Properties Purchase And Sale,8031,107453000000.0,29092000000.0,48402000000.0,-4526000000.0,,,,,,
Sale Of Investment Properties,8031,120124000000.0,37573000000.0,60705000000.0,21902000000.0,,,,,,
Purchase Of Investment Properties,8031,-12671000000.0,-8481000000.0,-12303000000.0,-26428000000.0,,,,,,
Net Business Purchase And Sale,8031,-81776000000.0,-259469000000.0,-103428000000.0,-27067000000.0,,,,,,
Sale Of Business,8031,238559000000.0,296635000000.0,135185000000.0,65064000000.0,,,,,,
Purchase Of Business,8031,-320335000000.0,-556104000000.0,-238613000000.0,-92131000000.0,,,,,,
Net PPE Purchase And Sale,8031,-332836000000.0,-244264000000.0,-190043000000.0,-156636000000.0,,,,,,
Sale Of PPE,8031,13311000000.0,50507000000.0,38022000000.0,28889000000.0,,,,,,
Purchase Of PPE,8031,-346147000000.0,-294771000000.0,-228065000000.0,-185525000000.0,,,,,,
Operating Cash Flow,8031,1017518000000.0,864419000000.0,1047537000000.0,806896000000.0,,,,,,
Taxes Refund Paid,8031,-186114000000.0,-208003000000.0,-235451000000.0,-189989000000.0,,,,,,
Interest Received Cfo,8031,97951000000.0,91893000000.0,84250000000.0,50824000000.0,,,,,,
Interest Paid Cfo,8031,-199042000000.0,-157442000000.0,-96668000000.0,-49278000000.0,,,,,,
Dividend Received Cfo,8031,636061000000.0,550836000000.0,574208000000.0,554764000000.0,,,,,,
Change In Working Capital,8031,-51237000000.0,-200655000000.0,-235128000000.0,-303925000000.0,,,,,,
Change In Other Current Liabilities,8031,-83596000000.0,-72903000000.0,,,,,,,,
Change In Other Current Assets,8031,76129000000.0,-125936000000.0,-197336000000.0,-85478000000.0,,,,,,
Change In Payable,8031,16669000000.0,30955000000.0,-295922000000.0,482318000000.0,,,,,,
Change In Prepaid Assets,8031,-13286000000.0,-54308000000.0,,,,,,,,
Change In Inventory,8031,5777000000.0,53915000000.0,53699000000.0,-291352000000.0,,,,,,
Change In Receivables,8031,-101716000000.0,-37128000000.0,216139000000.0,-416102000000.0,,,,,,
Other Non Cash Items,8031,-70747000000.0,-111350000000.0,-96029000000.0,-185382000000.0,,,,,,
Provisionand Write Offof Assets,8031,10098000000.0,8967000000.0,18857000000.0,20238000000.0,,,,,,
Deferred Tax,8031,213675000000.0,221914000000.0,240668000000.0,226810000000.0,,,,,,
Depreciation And Amortization,8031,313730000000.0,293573000000.0,272689000000.0,296396000000.0,,,,,,
Depreciation,8031,313730000000.0,293573000000.0,272689000000.0,296396000000.0,,,,,,
Gain Loss On Investment Securities,8031,-116348000000.0,-198063000000.0,-59524000000.0,-8705000000.0,,,,,,
Gain Loss On Sale Of PPE,8031,-57989000000.0,-16166000000.0,-19436000000.0,-14480000000.0,,,,,,
Net Income From Continuing Operations,8031,921556000000.0,1080479000000.0,1154627000000.0,937670000000.0,,,,,,
Free Cash Flow,8306,-450286000000.0,-10307667000000.0,13030148000000.0,9455896000000.0,,,,,,
Repurchase Of Capital Stock,8306,-418546000000.0,-400156000000.0,-450153000000.0,-158515000000.0,,,,,,
Repayment Of Debt,8306,-538910000000.0,-223290000000.0,-815754000000.0,-789480000000.0,,,,,,
Issuance Of Debt,8306,759976000000.0,1115021000000.0,699246000000.0,226091000000.0,,,,,,
Issuance Of Capital Stock,8306,15661000000.0,2297000000.0,2237000000.0,5399000000.0,,,,,,
Capital Expenditure,8306,-456701000000.0,-462807000000.0,-401625000000.0,-384003000000.0,,,,,,
Interest Paid Supplemental Data,8306,,,,,879917000000.0,,,,,
Income Tax Paid Supplemental Data,8306,,,,,124705000000.0,,,,,
End Cash Position,8306,109095437000000.0,109875097000000.0,113630172000000.0,110763205000000.0,,,,,,
Other Cash Adjustment Outside Changein Cash,8306,0.0,4595000000.0,-1900000000.0,-3139000000.0,,,,,,
Beginning Cash Position,8306,109875097000000.0,113630172000000.0,110763205000000.0,102980711000000.0,,,,,,
Effect Of Exchange Rate Changes,8306,261988000000.0,2090467000000.0,1089328000000.0,1228889000000.0,,,,,,
Changes In Cash,8306,-1041649000000.0,-5850138000000.0,1779539000000.0,6556745000000.0,,,,,,
Financing Cash Flow,8306,-861116000000.0,8307000000.0,-977138000000.0,-1080428000000.0,,,,,,
Cash Flow From Continuing Financing Activities,8306,-861115000000.0,8308000000.0,-977138000000.0,-1080427000000.0,,,,,,
Net Other Financing Charges,8306,-146321000000.0,-45810000000.0,-32267000000.0,-29304000000.0,,,,,,
Cash Dividends Paid,8306,-532976000000.0,-439755000000.0,-380447000000.0,-334619000000.0,,,,,,
Common Stock Dividend Paid,8306,-532976000000.0,-439755000000.0,-380447000000.0,-334619000000.0,,,,,,
Net Common Stock Issuance,8306,-402885000000.0,-397859000000.0,-447916000000.0,-153116000000.0,,,,,,
Common Stock Payments,8306,-418546000000.0,-400156000000.0,-450153000000.0,-158515000000.0,,,,,,
Common Stock Issuance,8306,15661000000.0,2297000000.0,2237000000.0,5399000000.0,,,,,,
Net Issuance Payments Of Debt,8306,221066000000.0,891731000000.0,-116508000000.0,-563389000000.0,,,,,,
Net Short Term Debt Issuance,8306,,,,,-939069000000.0,,,,,
Net Long Term Debt Issuance,8306,221066000000.0,891731000000.0,-116508000000.0,-563389000000.0,,,,,,
Long Term Debt Payments,8306,-538910000000.0,-223290000000.0,-815754000000.0,-789480000000.0,,,,,,
Long Term Debt Issuance,8306,759976000000.0,1115021000000.0,699246000000.0,226091000000.0,,,,,,
Investing Cash Flow,8306,-186948000000.0,3986415000000.0,-10675096000000.0,-2202726000000.0,,,,,,
Cash Flow From Continuing Investing Activities,8306,-186948000000.0,3986418000000.0,-10675096000000.0,-2202728000000.0,,,,,,
Net Other Investing Changes,8306,203696000000.0,-48190000000.0,30418000000.0,-57542000000.0,,,,,,
Net Investment Purchase And Sale,8306,151751000000.0,4614883000000.0,-8565674000000.0,-1154972000000.0,,,,,,
Sale Of Investment,8306,108277531000000.0,97434153000000.0,95427667000000.0,96739005000000.0,,,,,,
Purchase Of Investment,8306,-108125780000000.0,-92819270000000.0,-103993341000000.0,-97893977000000.0,,,,,,
Net Business Purchase And Sale,8306,-163412000000.0,-196321000000.0,-1784755000000.0,-689742000000.0,,,,,,
Sale Of Business,8306,0.0,9476000000.0,0.0,35851000000.0,,,,,,
Purchase Of Business,8306,-163412000000.0,-205797000000.0,-1784755000000.0,-725593000000.0,,,,,,
Net Intangibles Purchase And Sale,8306,-322501000000.0,-332589000000.0,-283298000000.0,-281451000000.0,,,,,,
Sale Of Intangibles,8306,4000000.0,568000000.0,180000000.0,1277000000.0,,,,,,
Purchase Of Intangibles,8306,-322505000000.0,-333157000000.0,-283478000000.0,-282728000000.0,,,,,,
Net PPE Purchase And Sale,8306,-56482000000.0,-51368000000.0,-71787000000.0,-19019000000.0,,,,,,
Sale Of PPE,8306,77714000000.0,78282000000.0,46360000000.0,82256000000.0,,,,,,
Purchase Of PPE,8306,-134196000000.0,-129650000000.0,-118147000000.0,-101275000000.0,,,,,,
Capital Expenditure Reported,8306,,,,,-116707000000.0,,,,,
Operating Cash Flow,8306,6415000000.0,-9844860000000.0,13431773000000.0,9839899000000.0,,,,,,
Cash Flow From Continuing Operating Activities,8306,6414000000.0,-9844858000000.0,13431766000000.0,9839895000000.0,,,,,,
Taxes Refund Paid,8306,-329687000000.0,-526910000000.0,-477532000000.0,-249370000000.0,,,,,,
Interest Received Cfo,8306,8389421000000.0,7250761000000.0,4923477000000.0,2657591000000.0,,,,,,
Interest Paid Cfo,8306,-5573505000000.0,-4851903000000.0,-2098922000000.0,-546500000000.0,,,,,,
Change In Working Capital,8306,-4388602000000.0,-5686485000000.0,14413010000000.0,11207231000000.0,,,,,,
Change In Other Working Capital,8306,646034000000.0,11234207000000.0,12378514000000.0,6774306000000.0,,,,,,
Change In Other Current Liabilities,8306,-959121000000.0,902573000000.0,389528000000.0,76095000000.0,,,,,,
Change In Other Current Assets,8306,517507000000.0,-651884000000.0,-57307000000.0,-472876000000.0,,,,,,
Change In Payables And Accrued Expense,8306,-2449496000000.0,-4301919000000.0,-1121708000000.0,1602553000000.0,,,,,,
Change In Payable,8306,-2449496000000.0,-4301919000000.0,-1121708000000.0,1602553000000.0,,,,,,
Change In Receivables,8306,-474540000000.0,-281434000000.0,153662000000.0,-977957000000.0,,,,,,
Other Non Cash Items,8306,-1157786000000.0,-3099107000000.0,-3137147000000.0,-1805207000000.0,,,,,,
Unrealized Gain Loss On Investment Securities,8306,,,,,5002000000.0,,,,,
Asset Impairment Charge,8306,141542000000.0,31108000000.0,18167000000.0,174133000000.0,,,,,,
Deferred Tax,8306,,,,,266273000000.0,,,,,
Deferred Income Tax,8306,,,,,266273000000.0,,,,,
Depreciation Amortization Depletion,8306,415029000000.0,362367000000.0,334636000000.0,363250000000.0,,,,,,
Depreciation And Amortization,8306,415029000000.0,362367000000.0,334636000000.0,363250000000.0,,,,,,
Amortization Cash Flow,8306,36553000000.0,22230000000.0,19928000000.0,18051000000.0,,,,,,
Amortization Of Intangibles,8306,36553000000.0,22230000000.0,19928000000.0,18051000000.0,,,,,,
Depreciation,8306,378476000000.0,340137000000.0,314708000000.0,345199000000.0,,,,,,
Operating Gains Losses,8306,-40631000000.0,-5374795000000.0,-2113839000000.0,-3451086000000.0,,,,,,
Pension And Employee Benefit Expense,8306,,0.0,78111000000.0,0.0,2804000000.0,,,,,
Earnings Losses From Equity Investments,8306,-596956000000.0,-531803000000.0,-425829000000.0,-441595000000.0,,,,,,
Gain Loss On Investment Securities,8306,401929000000.0,79574000000.0,481930000000.0,-225395000000.0,,,,,,
Net Foreign Currency Exchange Gain Loss,8306,162239000000.0,-4994338000000.0,-2255057000000.0,-2788581000000.0,,,,,,
Gain Loss On Sale Of PPE,8306,-7612000000.0,-4594000000.0,918000000.0,-16862000000.0,,,,,,
Net Income From Continuing Operations,8306,2550634000000.0,2050104000000.0,1569923000000.0,1489857000000.0,,,,,,
Free Cash Flow,8058,1274057000000.0,826838000000.0,1475184000000.0,662011000000.0,,,,,,
Repayment Of Debt,8058,-479122000000.0,-614361000000.0,-772621000000.0,-865450000000.0,,,,,,
Issuance Of Debt,8058,456045000000.0,430656000000.0,214020000000.0,864567000000.0,,,,,,
Capital Expenditure,8058,-384292000000.0,-520542000000.0,-454954000000.0,-393833000000.0,,,,,,
End Cash Position,8058,1536624000000.0,1251550000000.0,1556999000000.0,1555570000000.0,,,,,,
Other Cash Adjustment Outside Changein Cash,8058,408756000000.0,-408756000000.0,,,,,,,,
Beginning Cash Position,8058,1251550000000.0,1556999000000.0,1555570000000.0,1317824000000.0,,,,,,
Effect Of Exchange Rate Changes,8058,22617000000.0,47921000000.0,15395000000.0,42848000000.0,,,,,,
Changes In Cash,8058,-146299000000.0,55386000000.0,-13966000000.0,194898000000.0,,,,,,
Financing Cash Flow,8058,-1530703000000.0,-1086233000000.0,-1766638000000.0,-693396000000.0,,,,,,
Net Other Financing Charges,8058,-4104000000.0,376000000.0,11894000000.0,4640000000.0,,,,,,
Cash Dividends Paid,8058,-342247000000.0,-293433000000.0,-228829000000.0,-203737000000.0,,,,,,
Common Stock Dividend Paid,8058,-342247000000.0,-293433000000.0,-228829000000.0,-203737000000.0,,,,,,
Net Common Stock Issuance,8058,-395012000000.0,-445027000000.0,-217107000000.0,-13000000.0,,,,,,
Net Issuance Payments Of Debt,8058,-518450000000.0,36708000000.0,-967302000000.0,-160455000000.0,,,,,,
Net Short Term Debt Issuance,8058,-495373000000.0,220413000000.0,-408701000000.0,-159572000000.0,,,,,,
Net Long Term Debt Issuance,8058,-23077000000.0,-183705000000.0,-558601000000.0,-883000000.0,,,,,,
Long Term Debt Payments,8058,-479122000000.0,-614361000000.0,-772621000000.0,-865450000000.0,,,,,,
Long Term Debt Issuance,8058,456045000000.0,430656000000.0,214020000000.0,864567000000.0,,,,,,
Investing Cash Flow,8058,-273945000000.0,-205761000000.0,-177466000000.0,-167550000000.0,,,,,,
Net Investment Purchase And Sale,8058,-38614000000.0,77315000000.0,116903000000.0,122077000000.0,,,,,,
Sale Of Investment,8058,286534000000.0,143798000000.0,179328000000.0,149067000000.0,,,,,,
Purchase Of Investment,8058,-325148000000.0,-66483000000.0,-62425000000.0,-26990000000.0,,,,,,
Net Investment Properties Purchase And Sale,8058,-1076000000.0,64442000000.0,-216000000.0,886000000.0,,,,,,
Sale Of Investment Properties,8058,209000000.0,65738000000.0,395000000.0,1329000000.0,,,,,,
Purchase Of Investment Properties,8058,-1285000000.0,-1296000000.0,-611000000.0,-443000000.0,,,,,,
Net Business Purchase And Sale,8058,-317900000000.0,65452000000.0,250732000000.0,97576000000.0,,,,,,
Sale Of Business,8058,254754000000.0,349160000000.0,457491000000.0,299733000000.0,,,,,,
Purchase Of Business,8058,-572654000000.0,-283708000000.0,-206759000000.0,-202157000000.0,,,,,,
Net PPE Purchase And Sale,8058,-178553000000.0,-494443000000.0,-434678000000.0,-365945000000.0,,,,,,
Sale Of PPE,8058,205739000000.0,26099000000.0,20276000000.0,27888000000.0,,,,,,
Purchase Of PPE,8058,-384292000000.0,-520542000000.0,-454954000000.0,-393833000000.0,,,,,,
Operating Cash Flow,8058,1658349000000.0,1347380000000.0,1930138000000.0,1055844000000.0,,,,,,
Taxes Refund Paid,8058,-146416000000.0,-473635000000.0,-339540000000.0,-156939000000.0,,,,,,
Interest Received Cfo,8058,200179000000.0,187571000000.0,121653000000.0,80601000000.0,,,,,,
Interest Paid Cfo,8058,-167261000000.0,-212823000000.0,-134224000000.0,-64444000000.0,,,,,,
Dividend Received Cfo,8058,635565000000.0,485252000000.0,489353000000.0,493860000000.0,,,,,,
Change In Working Capital,8058,125121000000.0,42382000000.0,255846000000.0,-549921000000.0,,,,,,
Change In Other Current Assets,8058,67045000000.0,39779000000.0,197674000000.0,-36149000000.0,,,,,,
Change In Payable,8058,-5889000000.0,-8490000000.0,-108217000000.0,396298000000.0,,,,,,
Change In Inventory,8058,-37933000000.0,-71555000000.0,-12929000000.0,-236396000000.0,,,,,,
Change In Receivables,8058,101898000000.0,82648000000.0,179318000000.0,-673674000000.0,,,,,,
Other Non Cash Items,8058,-171977000000.0,-114264000000.0,-88265000000.0,-139850000000.0,,,,,,
Deferred Tax,8058,317179000000.0,337736000000.0,409132000000.0,288657000000.0,,,,,,
